fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-10-16,C,170.0,35,5,0.9563
2026-09-24,2026-10-16,C,175.0,42,1,0.5907
2026-09-24,2026-10-16,C,180.0,0,1,0.0
2026-09-24,2026-10-16,C,185.0,305,188,0.3711
2026-09-24,2026-10-16,C,190.0,72,1,0.3141
2026-09-24,2026-10-16,C,195.0,111,2,0.2988
2026-09-24,2026-10-16,C,200.0,382,25,0.2374
2026-09-24,2026-10-16,C,210.0,519,11,0.219
2026-09-24,2026-10-16,C,220.0,1394,14,0.273
2026-09-24,2026-10-16,P,170.0,100,22,0.5403
2026-09-24,2026-10-16,P,175.0,36,1,0.4456
2026-09-24,2026-10-16,P,180.0,100,1,0.4992
2026-09-24,2026-10-16,P,185.0,103,2,0.3023
2026-09-24,2026-10-16,P,190.0,145,3,0.2745
2026-09-24,2026-10-16,P,195.0,289,16,0.2935
2026-09-24,2026-10-16,P,200.0,247,3,0.2119
2026-09-24,2026-10-16,P,210.0,1313,1,0.2695
2026-09-24,2026-10-16,P,220.0,3,1,0.3731
2026-09-24,2026-11-20,C,200.0,94,6,0.2142
2026-09-24,2026-11-20,C,210.0,340,13,0.2107
2026-09-24,2026-11-20,C,220.0,1109,7,0.2089
2026-09-24,2026-11-20,P,170.0,75,75,0.3784
2026-09-24,2026-11-20,P,175.0,24,13,0.3871
2026-09-24,2026-11-20,P,185.0,11,1,0.2532
2026-09-24,2026-11-20,P,190.0,23,500,0.2262
2026-09-24,2026-11-20,P,200.0,203,21,0.2048
2026-09-24,2026-11-20,P,210.0,17,1,0.2257
2026-09-24,2026-11-20,P,220.0,500,0,0.2759
