fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,115.0,3,8,2.7295
2026-09-24,2026-09-25,C,119.0,1,0,1.8711
2026-09-24,2026-09-25,C,120.0,17,8,1.1094
2026-09-24,2026-09-25,C,121.0,39,1,1.6934
2026-09-24,2026-09-25,C,122.0,10,1,0.918
2026-09-24,2026-09-25,C,123.0,78,25,0.875
2026-09-24,2026-09-25,C,124.0,18,2,1.5537
2026-09-24,2026-09-25,C,125.0,51,3,0.7168
2026-09-24,2026-09-25,C,126.0,50,8,1.4766
2026-09-24,2026-09-25,C,127.0,90,2,0.5293
2026-09-24,2026-09-25,C,128.0,33,22,0.7949
2026-09-24,2026-09-25,C,129.0,28,24,0.6016
2026-09-24,2026-09-25,C,130.0,379,58,0.3945
2026-09-24,2026-09-25,C,131.0,489,264,0.3701
2026-09-24,2026-09-25,C,132.0,727,730,0.3584
2026-09-24,2026-09-25,C,133.0,1508,2359,0.3482
2026-09-24,2026-09-25,C,134.0,1167,254,0.3379
2026-09-24,2026-09-25,C,135.0,1461,1110,0.3496
2026-09-24,2026-09-25,C,136.0,1516,735,0.3633
2026-09-24,2026-09-25,C,137.0,1026,59,0.4063
2026-09-24,2026-09-25,C,138.0,1523,94,0.4023
2026-09-24,2026-09-25,C,139.0,1797,16,0.5742
2026-09-24,2026-09-25,C,140.0,1606,66,0.5586
2026-09-24,2026-09-25,C,141.0,227,2,0.7461
2026-09-24,2026-09-25,C,142.0,372,10,0.8027
2026-09-24,2026-09-25,C,143.0,173,1,0.8633
2026-09-24,2026-09-25,C,144.0,694,1,0.625
2026-09-24,2026-09-25,C,145.0,1620,1,0.875
2026-09-24,2026-09-25,C,146.0,204,10,1.4688
2026-09-24,2026-09-25,C,147.0,47,4,1.2617
2026-09-24,2026-09-25,C,148.0,133,5,2.0195
2026-09-24,2026-09-25,C,149.0,41,3,1.8418
2026-09-24,2026-09-25,C,150.0,164,3,2.1338
2026-09-24,2026-09-25,C,152.5,74,1,2.3633
2026-09-24,2026-09-25,C,155.0,91,2,2.543
2026-09-24,2026-09-25,P,110.0,69,1,1.2188
2026-09-24,2026-09-25,P,115.0,162,11,1.1875
2026-09-24,2026-09-25,P,119.0,4,15,0.9297
2026-09-24,2026-09-25,P,120.0,3228,2,0.6875
2026-09-24,2026-09-25,P,121.0,105,1,0.9609
2026-09-24,2026-09-25,P,122.0,57,2,0.7031
2026-09-24,2026-09-25,P,123.0,407,15,0.9453
