fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,275.0,30,11,2.71
2026-09-24,2026-09-25,C,280.0,50,2,2.5234
2026-09-24,2026-09-25,C,285.0,34,5,2.3799
2026-09-24,2026-09-25,C,290.0,30,1,1.0781
2026-09-24,2026-09-25,C,295.0,15,2,2.044
2026-09-24,2026-09-25,C,300.0,166,4,0.8594
2026-09-24,2026-09-25,C,305.0,28,23,0.9746
2026-09-24,2026-09-25,C,307.5,7,40,1.5889
2026-09-24,2026-09-25,C,310.0,33,13,1.3887
2026-09-24,2026-09-25,C,312.5,20,1,1.3115
2026-09-24,2026-09-25,C,315.0,81,18,1.1445
2026-09-24,2026-09-25,C,317.5,35,57,0.5938
2026-09-24,2026-09-25,C,320.0,111,161,0.7842
2026-09-24,2026-09-25,C,322.5,121,217,0.5176
2026-09-24,2026-09-25,C,325.0,593,204,0.9336
2026-09-24,2026-09-25,C,327.5,112,12,0.7451
2026-09-24,2026-09-25,C,330.0,658,554,0.5352
2026-09-24,2026-09-25,C,332.5,377,610,0.4653
2026-09-24,2026-09-25,C,335.0,1908,7791,0.3726
2026-09-24,2026-09-25,C,337.5,993,7864,0.3572
2026-09-24,2026-09-25,C,340.0,3763,10831,0.3518
2026-09-24,2026-09-25,C,342.5,1061,4019,0.3557
2026-09-24,2026-09-25,C,345.0,2790,8854,0.3657
2026-09-24,2026-09-25,C,347.5,7378,1438,0.3828
2026-09-24,2026-09-25,C,350.0,5687,5509,0.4043
2026-09-24,2026-09-25,C,352.5,2339,511,0.4297
2026-09-24,2026-09-25,C,355.0,2648,941,0.4609
2026-09-24,2026-09-25,C,357.5,1894,384,0.4981
2026-09-24,2026-09-25,C,360.0,6797,1859,0.5195
2026-09-24,2026-09-25,C,362.5,2666,253,0.5781
2026-09-24,2026-09-25,C,365.0,8908,520,0.6094
2026-09-24,2026-09-25,C,367.5,6785,99,0.625
2026-09-24,2026-09-25,C,370.0,5529,483,0.707
2026-09-24,2026-09-25,C,372.5,1997,85,0.6953
2026-09-24,2026-09-25,C,375.0,2925,448,0.7422
2026-09-24,2026-09-25,C,377.5,3455,62,0.7578
2026-09-24,2026-09-25,C,380.0,4436,236,0.7969
2026-09-24,2026-09-25,C,385.0,1385,125,0.7969
2026-09-24,2026-09-25,C,390.0,1005,33,1.0938
2026-09-24,2026-09-25,C,395.0,566,132,1.0
2026-09-24,2026-09-25,C,400.0,3393,79,1.125
2026-09-24,2026-09-25,C,405.0,939,60,1.5039
