fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,90.0,25,1,2.793
2026-09-24,2026-09-25,C,95.0,119,14,2.2637
2026-09-24,2026-09-25,C,96.0,112,6,1.2891
2026-09-24,2026-09-25,C,97.0,81,4,1.9785
2026-09-24,2026-09-25,C,98.0,88,2,1.6406
2026-09-24,2026-09-25,C,99.0,41,31,1.3281
2026-09-24,2026-09-25,C,100.0,177,26,1.1914
2026-09-24,2026-09-25,C,101.0,47,7,1.2031
2026-09-24,2026-09-25,C,102.0,89,6,1.1602
2026-09-24,2026-09-25,C,103.0,67,46,1.2568
2026-09-24,2026-09-25,C,104.0,102,33,0.8672
2026-09-24,2026-09-25,C,105.0,215,39,0.9219
2026-09-24,2026-09-25,C,106.0,41,14,0.6836
2026-09-24,2026-09-25,C,107.0,230,45,0.668
2026-09-24,2026-09-25,C,108.0,477,23,0.6475
2026-09-24,2026-09-25,C,109.0,788,448,0.5303
2026-09-24,2026-09-25,C,110.0,4811,1439,0.4805
2026-09-24,2026-09-25,C,111.0,2516,4043,0.4819
2026-09-24,2026-09-25,C,112.0,3726,3407,0.5029
2026-09-24,2026-09-25,C,113.0,4272,1929,0.5176
2026-09-24,2026-09-25,C,114.0,2846,4124,0.5439
2026-09-24,2026-09-25,C,115.0,10239,7887,0.5762
2026-09-24,2026-09-25,C,116.0,6322,697,0.6231
2026-09-24,2026-09-25,C,117.0,2879,2704,0.6563
2026-09-24,2026-09-25,C,118.0,2637,1031,0.7188
2026-09-24,2026-09-25,C,119.0,1256,313,0.7695
2026-09-24,2026-09-25,C,120.0,14828,3863,0.793
2026-09-24,2026-09-25,C,121.0,1953,380,0.9258
2026-09-24,2026-09-25,C,122.0,1198,278,0.8906
2026-09-24,2026-09-25,C,123.0,2019,138,0.9063
2026-09-24,2026-09-25,C,124.0,1051,299,1.25
2026-09-24,2026-09-25,C,125.0,6119,740,1.0313
2026-09-24,2026-09-25,C,126.0,941,67,1.3672
2026-09-24,2026-09-25,C,127.0,1632,76,1.1953
2026-09-24,2026-09-25,C,128.0,1807,36,1.543
2026-09-24,2026-09-25,C,129.0,435,23,1.25
2026-09-24,2026-09-25,C,130.0,6661,333,1.3594
2026-09-24,2026-09-25,C,131.0,285,7,1.957
2026-09-24,2026-09-25,C,132.0,344,2,1.5
