fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,119.0,92,1,4.0889
2026-09-24,2026-09-25,C,120.0,183,11,3.8574
2026-09-24,2026-09-25,C,121.0,117,2,3.8691
2026-09-24,2026-09-25,C,122.0,131,9,3.7891
2026-09-24,2026-09-25,C,123.0,163,8,3.6787
2026-09-24,2026-09-25,C,124.0,103,73,2.1426
2026-09-24,2026-09-25,C,125.0,313,95,2.3477
2026-09-24,2026-09-25,C,126.0,38,29,3.4043
2026-09-24,2026-09-25,C,127.0,38,115,2.3193
2026-09-24,2026-09-25,C,128.0,74,21,2.7227
2026-09-24,2026-09-25,C,129.0,30,62,2.332
2026-09-24,2026-09-25,C,130.0,1030,209,2.0342
2026-09-24,2026-09-25,C,131.0,60,145,2.25
2026-09-24,2026-09-25,C,132.0,46,142,2.0352
2026-09-24,2026-09-25,C,133.0,98,100,1.9707
2026-09-24,2026-09-25,C,134.0,104,32,1.4473
2026-09-24,2026-09-25,C,135.0,596,125,1.1074
2026-09-24,2026-09-25,C,136.0,136,19,1.5586
2026-09-24,2026-09-25,C,137.0,139,28,1.6885
2026-09-24,2026-09-25,C,138.0,130,18,1.3457
2026-09-24,2026-09-25,C,139.0,197,31,0.6172
2026-09-24,2026-09-25,C,140.0,1071,299,0.7227
2026-09-24,2026-09-25,C,141.0,219,129,0.6504
2026-09-24,2026-09-25,C,142.0,600,349,0.5781
2026-09-24,2026-09-25,C,143.0,516,445,0.54
2026-09-24,2026-09-25,C,144.0,835,3925,0.5322
2026-09-24,2026-09-25,C,145.0,3710,6491,0.5117
2026-09-24,2026-09-25,C,146.0,1177,8989,0.5039
2026-09-24,2026-09-25,C,147.0,1277,16305,0.5
2026-09-24,2026-09-25,C,148.0,1495,27182,0.5
2026-09-24,2026-09-25,C,149.0,2283,17824,0.502
2026-09-24,2026-09-25,C,150.0,10770,47533,0.5073
2026-09-24,2026-09-25,C,152.5,11179,21982,0.5371
2026-09-24,2026-09-25,C,155.0,24394,27320,0.5801
2026-09-24,2026-09-25,C,157.5,14561,13012,0.6406
2026-09-24,2026-09-25,C,160.0,30893,16463,0.7266
2026-09-24,2026-09-25,C,162.5,9318,4289,0.8203
2026-09-24,2026-09-25,C,165.0,15280,4101,0.9297
2026-09-24,2026-09-25,C,167.5,5111,1033,0.9961
2026-09-24,2026-09-25,C,170.0,29178,1828,1.0781
2026-09-24,2026-09-25,C,172.5,18357,1341,1.1406
2026-09-24,2026-09-25,C,175.0,6182,665,1.2344
2026-09-24,2026-09-25,C,177.5,3244,573,1.1875
2026-09-24,2026-09-25,P,119.0,822,22,1.4375
2026-09-24,2026-09-25,P,120.0,6580,23,1.375
2026-09-24,2026-09-25,P,121.0,438,9,1.3125
2026-09-24,2026-09-25,P,122.0,682,44,1.2813
2026-09-24,2026-09-25,P,123.0,3315,85,1.2188
2026-09-24,2026-09-25,P,124.0,683,133,1.1875
2026-09-24,2026-09-25,P,125.0,1766,276,1.125
2026-09-24,2026-09-25,P,126.0,976,87,1.2031
2026-09-24,2026-09-25,P,127.0,924,172,1.1094
2026-09-24,2026-09-25,P,128.0,1504,47,1.1094
2026-09-24,2026-09-25,P,129.0,716,106,1.0469
2026-09-24,2026-09-25,P,130.0,2878,356,0.9922
2026-09-24,2026-09-25,P,131.0,940,282,0.9375
2026-09-24,2026-09-25,P,132.0,1371,429,0.9531
2026-09-24,2026-09-25,P,133.0,1775,247,0.8906
2026-09-24,2026-09-25,P,134.0,5770,116,0.8125
2026-09-24,2026-09-25,P,135.0,7652,1529,0.7656
2026-09-24,2026-09-25,P,136.0,1524,444,0.7266
2026-09-24,2026-09-25,P,137.0,3580,938,0.6914
2026-09-24,2026-09-25,P,138.0,5474,1626,0.6484
2026-09-24,2026-09-25,P,139.0,3273,2602,0.6055
2026-09-24,2026-09-25,P,140.0,16526,11079,0.5781
2026-09-24,2026-09-25,P,141.0,1924,2502,0.5469
2026-09-24,2026-09-25,P,142.0,6346,6423,0.5059
2026-09-24,2026-09-25,P,143.0,6939,5001,0.5
2026-09-24,2026-09-25,P,144.0,3197,4110,0.4902
2026-09-24,2026-09-25,P,145.0,13561,23873,0.4824
2026-09-24,2026-09-25,P,146.0,4087,13063,0.4775
2026-09-24,2026-09-25,P,147.0,5280,25968,0.4731
2026-09-24,2026-09-25,P,148.0,5988,16033,0.4741
2026-09-24,2026-09-25,P,149.0,6442,10018,0.4785
2026-09-24,2026-09-25,P,150.0,20221,16912,0.4834
2026-09-24,2026-09-25,P,152.5,13324,9160,0.5176
2026-09-24,2026-09-25,P,155.0,4178,1442,0.5801
2026-09-24,2026-09-25,P,157.5,1081,102,0.7324
2026-09-24,2026-09-25,P,160.0,1247,327,1.2969
2026-09-24,2026-09-25,P,162.5,632,50,1.4043
2026-09-24,2026-09-25,P,165.0,208,5,1.7822
2026-09-24,2026-09-25,P,167.5,58,89,1.2266
2026-09-24,2026-09-25,P,170.0,194,698,2.0762
2026-09-24,2026-09-25,P,172.5,15,26,3.0898
2026-09-24,2026-09-25,P,175.0,8,2,1.959
2026-09-24,2026-10-02,C,119.0,2,2,0.6777
2026-09-24,2026-10-02,C,120.0,98,6,1.2607
2026-09-24,2026-10-02,C,122.0,11,14,1.3189
2026-09-24,2026-10-02,C,123.0,4,5,0.6387
2026-09-24,2026-10-02,C,125.0,102,21,0.5684
2026-09-24,2026-10-02,C,126.0,19,3,1.1367
2026-09-24,2026-10-02,C,127.0,14,20,0.998
2026-09-24,2026-10-02,C,128.0,25,8,0.6748
2026-09-24,2026-10-02,C,129.0,18,4,1.1819
2026-09-24,2026-10-02,C,130.0,80,26,0.5625
2026-09-24,2026-10-02,C,131.0,19,1,1.001
2026-09-24,2026-10-02,C,132.0,44,2,0.8574
2026-09-24,2026-10-02,C,133.0,69,2,0.6426
2026-09-24,2026-10-02,C,134.0,27,6,0.721
2026-09-24,2026-10-02,C,135.0,199,47,0.5391
2026-09-24,2026-10-02,C,136.0,53,8,0.5459
2026-09-24,2026-10-02,C,137.0,68,89,0.5378
2026-09-24,2026-10-02,C,138.0,133,21,0.5698
2026-09-24,2026-10-02,C,139.0,189,17,0.5654
2026-09-24,2026-10-02,C,140.0,523,301,0.5203
2026-09-24,2026-10-02,C,141.0,212,24,0.533
2026-09-24,2026-10-02,C,142.0,137,83,0.5332
2026-09-24,2026-10-02,C,143.0,289,179,0.5037
2026-09-24,2026-10-02,C,144.0,1244,251,0.4973
2026-09-24,2026-10-02,C,145.0,1112,797,0.4929
2026-09-24,2026-10-02,C,146.0,745,1180,0.4905
2026-09-24,2026-10-02,C,147.0,372,1422,0.4839
2026-09-24,2026-10-02,C,148.0,584,3604,0.4846
2026-09-24,2026-10-02,C,149.0,1260,2415,0.481
2026-09-24,2026-10-02,C,150.0,6534,8503,0.4788
