fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,99.0,50,1,0.4854
2026-09-24,2026-09-25,C,100.0,54,1,0.3643
2026-09-24,2026-09-25,C,101.0,29,6,0.4053
2026-09-24,2026-09-25,C,102.0,68,10,0.5391
2026-09-24,2026-09-25,C,103.0,30,2,1.0547
2026-09-24,2026-09-25,C,104.0,45,20,0.6611
2026-09-24,2026-09-25,C,105.0,70,4,1.3379
2026-09-24,2026-09-25,C,106.0,84,2,1.4756
2026-09-24,2026-09-25,C,107.0,18,10,1.6064
2026-09-24,2026-09-25,C,108.0,11,5,1.7324
2026-09-24,2026-09-25,C,109.0,4,2,1.8555
2026-09-24,2026-09-25,C,110.0,4,1,1.2695
2026-09-24,2026-09-25,C,111.0,2,0,2.0879
2026-09-24,2026-09-25,C,112.0,2,0,2.1992
2026-09-24,2026-09-25,C,114.0,0,1,2.4141
2026-09-24,2026-09-25,P,90.0,1,1,1.625
2026-09-24,2026-09-25,P,95.0,12,4,1.4434
2026-09-24,2026-09-25,P,96.0,27,11,1.3115
2026-09-24,2026-09-25,P,97.0,31,2,0.5371
2026-09-24,2026-09-25,P,98.0,57,14,0.5059
2026-09-24,2026-09-25,P,99.0,102,19,0.4141
2026-09-24,2026-09-25,P,100.0,112,6,0.3984
2026-09-24,2026-09-25,P,101.0,121,2,0.7139
2026-09-24,2026-09-25,P,102.0,12,1,0.5801
2026-09-24,2026-09-25,P,103.0,11,5,0.5586
2026-09-24,2026-09-25,P,104.0,65,4,0.6348
2026-09-24,2026-09-25,P,105.0,4,1,0.834
2026-09-24,2026-09-25,P,106.0,6,1,0.8477
2026-09-24,2026-09-25,P,107.0,2,1,0.5938
2026-09-24,2026-10-02,C,90.0,1,0,0.688
2026-09-24,2026-10-02,C,94.0,100,0,0.8374
2026-09-24,2026-10-02,C,98.0,330,40,0.5469
2026-09-24,2026-10-02,C,101.0,423,60,0.2661
2026-09-24,2026-10-02,C,102.0,36,41,0.2681
2026-09-24,2026-10-02,C,103.0,17,24,0.3047
2026-09-24,2026-10-02,C,104.0,410,10,0.2749
2026-09-24,2026-10-02,C,105.0,1298,3,0.2891
2026-09-24,2026-10-02,C,107.0,18,17,0.5161
2026-09-24,2026-10-02,C,108.0,4,10,0.6128
2026-09-24,2026-10-02,C,110.0,1,0,0.6978
2026-09-24,2026-10-02,C,113.0,4,10,0.8159
2026-09-24,2026-10-02,P,87.0,8,0,0.4688
2026-09-24,2026-10-02,P,90.0,0,2,0.5537
2026-09-24,2026-10-02,P,94.0,0,1,0.4253
2026-09-24,2026-10-02,P,95.0,4,2,0.4165
2026-09-24,2026-10-02,P,96.0,5,1,0.4209
2026-09-24,2026-10-02,P,97.0,7,2,0.2998
2026-09-24,2026-10-02,P,98.0,3,2,0.2847
2026-09-24,2026-10-02,P,99.0,1009,3,0.2661
2026-09-24,2026-10-02,P,100.0,42,2,0.2595
2026-09-24,2026-10-02,P,101.0,1213,4,0.2524
2026-09-24,2026-10-02,P,102.0,31,3,0.2627
2026-09-24,2026-10-02,P,104.0,119,4,0.5173
2026-09-24,2026-10-02,P,105.0,289,5,0.4512
2026-09-24,2026-10-02,P,106.0,2,0,0.542
2026-09-24,2026-10-02,P,107.0,12,2,0.772
2026-09-24,2026-10-09,C,104.0,16,5,0.2515
2026-09-24,2026-10-09,C,105.0,14,1,0.3418
2026-09-24,2026-10-09,C,106.0,25,23,0.571
2026-09-24,2026-10-09,C,107.0,1,0,0.5962
2026-09-24,2026-10-09,C,108.0,26,5,0.5078
2026-09-24,2026-10-09,C,110.0,6,6,0.3428
2026-09-24,2026-10-09,C,111.0,2,0,0.5391
2026-09-24,2026-10-09,P,90.0,4,4,0.4839
2026-09-24,2026-10-09,P,95.0,1,3,0.3394
2026-09-24,2026-10-09,P,96.0,3,0,0.3232
2026-09-24,2026-10-09,P,97.0,13,2,0.3025
2026-09-24,2026-10-09,P,98.0,2,2,0.3235
2026-09-24,2026-10-09,P,99.0,3,3,0.3472
2026-09-24,2026-10-09,P,100.0,12,3,0.3132
2026-09-24,2026-10-09,P,101.0,6,1,0.4019
2026-09-24,2026-10-09,P,102.0,46,37,0.2517
2026-09-24,2026-10-09,P,104.0,3,2,0.4185
2026-09-25,2026-09-25,C,99.0,51,50,0.5332
2026-09-25,2026-09-25,C,100.0,54,50,0.4531
2026-09-25,2026-09-25,C,101.0,29,1,0.3203
2026-09-25,2026-09-25,C,102.0,68,10,0.4658
2026-09-25,2026-09-25,C,103.0,30,2,0.9189
2026-09-25,2026-09-25,C,104.0,45,20,0.8145
2026-09-25,2026-09-25,C,105.0,70,4,1.2168
2026-09-25,2026-09-25,C,106.0,84,2,1.3584
2026-09-25,2026-09-25,C,107.0,18,10,1.4932
2026-09-25,2026-09-25,C,108.0,11,5,1.623
2026-09-25,2026-09-25,C,109.0,4,2,1.7471
2026-09-25,2026-09-25,C,110.0,4,1,1.1875
2026-09-25,2026-09-25,C,111.0,2,0,1.9844
2026-09-25,2026-09-25,C,112.0,2,0,2.0977
2026-09-25,2026-09-25,C,114.0,0,1,2.3145
2026-09-25,2026-09-25,P,90.0,1,1,3.082
2026-09-25,2026-09-25,P,95.0,16,4,2.209
2026-09-25,2026-09-25,P,96.0,27,11,1.2217
2026-09-25,2026-09-25,P,97.0,32,2,0.4648
2026-09-25,2026-09-25,P,98.0,57,14,1.083
2026-09-25,2026-09-25,P,99.0,112,19,0.6074
2026-09-25,2026-09-25,P,100.0,111,6,0.6299
2026-09-25,2026-09-25,P,101.0,121,2,0.5098
2026-09-25,2026-09-25,P,102.0,12,1,0.7402
2026-09-25,2026-09-25,P,103.0,11,5,0.5527
2026-09-25,2026-09-25,P,104.0,11,4,1.1602
2026-09-25,2026-09-25,P,105.0,3,1,0.834
2026-09-25,2026-09-25,P,106.0,0,1,0.791
2026-09-25,2026-09-25,P,107.0,0,1,0.8945
2026-09-25,2026-10-02,C,90.0,1,0,0.9214
2026-09-25,2026-10-02,C,94.0,100,0,0.6953
2026-09-25,2026-10-02,C,98.0,370,40,0.3174
2026-09-25,2026-10-02,C,101.0,437,25,0.2556
2026-09-25,2026-10-02,C,102.0,64,2,0.2617
2026-09-25,2026-10-02,C,103.0,31,2,0.2505
2026-09-25,2026-10-02,C,104.0,420,9,0.2607
2026-09-25,2026-10-02,C,105.0,1299,3,0.3071
2026-09-25,2026-10-02,C,107.0,18,17,0.5064
2026-09-25,2026-10-02,C,108.0,4,10,0.5566
2026-09-25,2026-10-02,C,110.0,1,0,0.6602
2026-09-25,2026-10-02,C,113.0,4,10,0.5684
2026-09-25,2026-10-02,P,87.0,8,0,0.9868
2026-09-25,2026-10-02,P,90.0,12,2,0.6231
2026-09-25,2026-10-02,P,94.0,2,1,0.3926
2026-09-25,2026-10-02,P,95.0,4,2,0.4653
2026-09-25,2026-10-02,P,96.0,5,1,0.377
2026-09-25,2026-10-02,P,97.0,9,3,0.2754
2026-09-25,2026-10-02,P,98.0,4,1,0.2637
2026-09-25,2026-10-02,P,99.0,1012,1,0.2398
2026-09-25,2026-10-02,P,100.0,43,1,0.2922
2026-09-25,2026-10-02,P,101.0,1211,3,0.3062
2026-09-25,2026-10-02,P,102.0,29,2,0.262
2026-09-25,2026-10-02,P,104.0,119,4,0.4287
2026-09-25,2026-10-02,P,105.0,289,1,0.3189
2026-09-25,2026-10-02,P,106.0,2,0,0.3101
2026-09-25,2026-10-02,P,107.0,12,2,0.5649
2026-09-25,2026-10-09,C,104.0,16,1,0.272
2026-09-25,2026-10-09,C,105.0,14,1,0.2808
2026-09-25,2026-10-09,C,106.0,25,23,0.3394
2026-09-25,2026-10-09,C,107.0,1,0,0.5754
