fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-10-16,C,125.0,7,3,0.5366
2026-09-24,2026-10-16,C,130.0,32,62,0.4285
2026-09-24,2026-10-16,C,135.0,201,2,0.3176
2026-09-24,2026-10-16,C,140.0,507,42,0.2544
2026-09-24,2026-10-16,C,145.0,1839,129,0.2383
2026-09-24,2026-10-16,C,150.0,1164,43,0.2263
2026-09-24,2026-10-16,C,155.0,1601,8,0.2478
2026-09-24,2026-10-16,C,160.0,1745,13,0.2661
2026-09-24,2026-10-16,C,165.0,885,1,0.3076
2026-09-24,2026-10-16,P,125.0,918,17,0.3145
2026-09-24,2026-10-16,P,130.0,3673,1,0.2774
2026-09-24,2026-10-16,P,135.0,1768,207,0.2429
2026-09-24,2026-10-16,P,140.0,1845,25,0.2244
2026-09-24,2026-10-16,P,145.0,1833,1,0.2146
2026-09-24,2026-10-16,P,150.0,1538,2,0.2422
2026-09-24,2026-10-16,P,155.0,3314,1,0.2783
2026-09-24,2026-10-16,P,160.0,0,5,0.3818
2026-09-24,2026-10-16,P,165.0,0,12,0.5654
2026-09-24,2026-11-20,C,125.0,24,1,0.4009
2026-09-24,2026-11-20,C,130.0,2,0,0.3508
2026-09-24,2026-11-20,C,135.0,50,51,0.3137
2026-09-24,2026-11-20,C,140.0,210,1,0.2844
2026-09-24,2026-11-20,C,145.0,414,16,0.2766
2026-09-24,2026-11-20,C,150.0,228,11,0.2677
2026-09-24,2026-11-20,C,155.0,1289,22,0.3175
2026-09-24,2026-11-20,C,160.0,634,57,0.2587
2026-09-24,2026-11-20,C,165.0,794,4,0.266
2026-09-24,2026-11-20,P,125.0,221,1,0.2752
2026-09-24,2026-11-20,P,130.0,1542,23,0.2604
2026-09-24,2026-11-20,P,135.0,2939,2,0.251
2026-09-24,2026-11-20,P,140.0,2057,2,0.2416
2026-09-24,2026-11-20,P,145.0,522,205,0.2355
2026-09-24,2026-11-20,P,150.0,700,11,0.2377
2026-09-24,2026-11-20,P,155.0,512,1,0.2514
2026-09-24,2026-11-20,P,160.0,783,653,0.2529
2026-09-24,2026-11-20,P,165.0,350,1,0.2822
2026-09-25,2026-10-16,C,125.0,7,3,0.4793
2026-09-25,2026-10-16,C,130.0,32,1,0.3684
2026-09-25,2026-10-16,C,135.0,201,6,0.312
2026-09-25,2026-10-16,C,140.0,503,16,0.2515
2026-09-25,2026-10-16,C,145.0,1911,25,0.2224
2026-09-25,2026-10-16,C,150.0,1152,40,0.2188
2026-09-25,2026-10-16,C,155.0,1601,30,0.2229
2026-09-25,2026-10-16,C,160.0,1732,1,0.2515
2026-09-25,2026-10-16,C,165.0,884,1,0.2837
2026-09-25,2026-10-16,P,125.0,904,8,0.3565
2026-09-25,2026-10-16,P,130.0,3672,11,0.293
2026-09-25,2026-10-16,P,135.0,1960,8,0.2395
2026-09-25,2026-10-16,P,140.0,1854,21,0.2213
2026-09-25,2026-10-16,P,145.0,1833,13,0.2022
2026-09-25,2026-10-16,P,150.0,1536,10,0.2318
2026-09-25,2026-10-16,P,155.0,3314,1,0.3071
2026-09-25,2026-10-16,P,160.0,0,5,0.3936
2026-09-25,2026-10-16,P,165.0,0,12,0.46
2026-09-25,2026-11-20,C,125.0,24,1,0.3709
2026-09-25,2026-11-20,C,130.0,2,1,0.3755
2026-09-25,2026-11-20,C,135.0,68,51,0.2983
2026-09-25,2026-11-20,C,140.0,210,7,0.2894
2026-09-25,2026-11-20,C,145.0,429,6,0.265
2026-09-25,2026-11-20,C,150.0,234,18,0.2577
2026-09-25,2026-11-20,C,155.0,1309,10,0.2562
2026-09-25,2026-11-20,C,160.0,676,289,0.2538
2026-09-25,2026-11-20,C,165.0,794,1,0.2605
2026-09-25,2026-11-20,P,125.0,220,1,0.282
2026-09-25,2026-11-20,P,130.0,1542,23,0.2573
2026-09-25,2026-11-20,P,135.0,2939,11,0.2471
2026-09-25,2026-11-20,P,140.0,2058,10,0.24
2026-09-25,2026-11-20,P,145.0,632,8,0.2284
2026-09-25,2026-11-20,P,150.0,710,11,0.2243
2026-09-25,2026-11-20,P,155.0,512,1,0.2412
2026-09-25,2026-11-20,P,160.0,783,653,0.2642
2026-09-25,2026-11-20,P,165.0,350,1,0.2933
