fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-10-16,C,140.0,15,15,0.5681
2026-09-24,2026-10-16,C,145.0,5,5,0.5886
2026-09-24,2026-10-16,C,150.0,53,3,0.5028
2026-09-24,2026-10-16,C,155.0,134,2,0.4255
2026-09-24,2026-10-16,C,160.0,819,79,0.3409
2026-09-24,2026-10-16,C,165.0,2614,222,0.3109
2026-09-24,2026-10-16,C,170.0,18571,198,0.3023
2026-09-24,2026-10-16,C,175.0,2037,91,0.32
2026-09-24,2026-10-16,C,180.0,818,36,0.3196
2026-09-24,2026-10-16,C,185.0,645,2,0.2988
2026-09-24,2026-10-16,P,140.0,325,1,0.4531
2026-09-24,2026-10-16,P,145.0,225,1,0.3569
2026-09-24,2026-10-16,P,150.0,368,24,0.3171
2026-09-24,2026-10-16,P,155.0,584,59,0.2971
2026-09-24,2026-10-16,P,160.0,3446,65,0.281
2026-09-24,2026-10-16,P,165.0,4484,502,0.2775
2026-09-24,2026-10-16,P,170.0,683,362,0.2656
2026-09-24,2026-10-16,P,175.0,314,1,0.2595
2026-09-24,2026-10-16,P,180.0,129,1,0.3425
2026-09-24,2026-10-16,P,185.0,0,30,0.0
2026-09-24,2026-11-20,C,150.0,3,2,0.4125
2026-09-24,2026-11-20,C,160.0,16,10,0.3535
2026-09-24,2026-11-20,C,165.0,47,10,0.3397
2026-09-24,2026-11-20,C,170.0,861,159,0.3242
2026-09-24,2026-11-20,C,175.0,247,117,0.3313
2026-09-24,2026-11-20,C,180.0,1216,2,0.322
2026-09-24,2026-11-20,C,185.0,80,18,0.3194
2026-09-24,2026-11-20,P,145.0,48,2,0.3252
2026-09-24,2026-11-20,P,150.0,67,1,0.3049
2026-09-24,2026-11-20,P,155.0,157,1,0.2994
2026-09-24,2026-11-20,P,160.0,1171,132,0.2918
2026-09-24,2026-11-20,P,165.0,109,47,0.2842
2026-09-24,2026-11-20,P,170.0,63,33,0.2913
2026-09-24,2026-11-20,P,175.0,110,0,0.2741
2026-09-25,2026-10-16,C,145.0,5,5,0.5891
2026-09-25,2026-10-16,C,150.0,50,3,0.5002
2026-09-25,2026-10-16,C,155.0,134,2,0.3738
2026-09-25,2026-10-16,C,160.0,818,10,0.3436
2026-09-25,2026-10-16,C,165.0,2722,82,0.2875
2026-09-25,2026-10-16,C,170.0,18622,850,0.286
2026-09-25,2026-10-16,C,175.0,2017,135,0.27
2026-09-25,2026-10-16,C,180.0,816,26,0.283
2026-09-25,2026-10-16,C,185.0,645,10,0.2734
2026-09-25,2026-10-16,C,190.0,414,2,0.356
2026-09-25,2026-10-16,P,145.0,225,5,0.3618
2026-09-25,2026-10-16,P,150.0,369,8,0.3159
2026-09-25,2026-10-16,P,155.0,623,90,0.2971
2026-09-25,2026-10-16,P,160.0,3477,830,0.2774
2026-09-25,2026-10-16,P,165.0,4611,7,0.2676
2026-09-25,2026-10-16,P,170.0,778,362,0.2594
2026-09-25,2026-10-16,P,175.0,314,1,0.2841
2026-09-25,2026-10-16,P,180.0,129,1,0.3494
2026-09-25,2026-10-16,P,185.0,0,30,0.0
2026-09-25,2026-10-16,P,190.0,0,1,0.5483
2026-09-25,2026-11-20,C,150.0,3,2,0.4064
2026-09-25,2026-11-20,C,160.0,16,10,0.3389
2026-09-25,2026-11-20,C,165.0,47,2,0.3248
2026-09-25,2026-11-20,C,170.0,981,3,0.3168
2026-09-25,2026-11-20,C,175.0,353,33,0.3141
2026-09-25,2026-11-20,C,180.0,1217,39,0.3104
2026-09-25,2026-11-20,C,185.0,98,9,0.3107
2026-09-25,2026-11-20,C,190.0,136,8,0.3241
2026-09-25,2026-11-20,P,145.0,48,2,0.3197
2026-09-25,2026-11-20,P,150.0,67,17,0.3068
2026-09-25,2026-11-20,P,155.0,158,6,0.2967
2026-09-25,2026-11-20,P,160.0,1171,6,0.2889
2026-09-25,2026-11-20,P,165.0,145,2,0.2819
2026-09-25,2026-11-20,P,170.0,93,2,0.2778
2026-09-25,2026-11-20,P,175.0,110,3,0.2767
