fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,200.0,56,10,3.1387
2026-09-24,2026-09-25,C,205.0,48,6,2.8652
2026-09-24,2026-09-25,C,210.0,113,79,1.9922
2026-09-24,2026-09-25,C,215.0,154,12,2.3252
2026-09-24,2026-09-25,C,220.0,230,14,1.5625
2026-09-24,2026-09-25,C,222.5,100,10,1.9414
2026-09-24,2026-09-25,C,225.0,242,35,1.6299
2026-09-24,2026-09-25,C,227.5,394,74,1.1807
2026-09-24,2026-09-25,C,230.0,158,148,1.0254
2026-09-24,2026-09-25,C,232.5,93,34,0.9707
2026-09-24,2026-09-25,C,235.0,401,80,0.7793
2026-09-24,2026-09-25,C,237.5,440,61,0.541
2026-09-24,2026-09-25,C,240.0,821,334,0.582
2026-09-24,2026-09-25,C,242.5,1225,850,0.5171
2026-09-24,2026-09-25,C,245.0,1252,8440,0.3994
2026-09-24,2026-09-25,C,247.5,4279,25951,0.3418
2026-09-24,2026-09-25,C,250.0,8012,43769,0.3091
2026-09-24,2026-09-25,C,252.5,8407,25796,0.3179
2026-09-24,2026-09-25,C,255.0,18581,26022,0.3418
2026-09-24,2026-09-25,C,257.5,14529,31247,0.3691
2026-09-24,2026-09-25,C,260.0,29116,13664,0.4063
2026-09-24,2026-09-25,C,262.5,7677,4853,0.4453
2026-09-24,2026-09-25,C,265.0,14417,3666,0.4922
2026-09-24,2026-09-25,C,267.5,5376,1297,0.5156
2026-09-24,2026-09-25,C,270.0,13339,926,0.5313
2026-09-24,2026-09-25,C,272.5,2804,658,0.5938
2026-09-24,2026-09-25,C,275.0,8816,144,0.6563
2026-09-24,2026-09-25,C,277.5,641,79,0.6875
2026-09-24,2026-09-25,C,280.0,3847,67,0.75
2026-09-24,2026-09-25,C,282.5,674,1,0.8125
2026-09-24,2026-09-25,C,285.0,4099,15,0.8438
2026-09-24,2026-09-25,C,287.5,394,223,1.0625
2026-09-24,2026-09-25,C,290.0,1636,31,0.9688
2026-09-24,2026-09-25,C,295.0,2872,3,1.1719
2026-09-24,2026-09-25,P,200.0,219,94,1.375
2026-09-24,2026-09-25,P,205.0,973,6,1.25
2026-09-24,2026-09-25,P,210.0,296,60,1.0938
2026-09-24,2026-09-25,P,215.0,3279,10,0.9688
2026-09-24,2026-09-25,P,220.0,3947,47,0.8125
2026-09-24,2026-09-25,P,222.5,994,20,0.75
2026-09-24,2026-09-25,P,225.0,3294,377,0.6875
2026-09-24,2026-09-25,P,227.5,1997,339,0.6563
2026-09-24,2026-09-25,P,230.0,5846,96,0.5938
2026-09-24,2026-09-25,P,232.5,1353,390,0.5391
2026-09-24,2026-09-25,P,235.0,3818,1311,0.4844
2026-09-24,2026-09-25,P,237.5,2908,1080,0.4297
2026-09-24,2026-09-25,P,240.0,10353,8963,0.3789
2026-09-24,2026-09-25,P,242.5,4611,12975,0.3262
2026-09-24,2026-09-25,P,245.0,10197,23442,0.292
2026-09-24,2026-09-25,P,247.5,4429,16566,0.3013
2026-09-24,2026-09-25,P,250.0,7330,10829,0.3208
2026-09-24,2026-09-25,P,252.5,6612,1021,0.313
2026-09-24,2026-09-25,P,255.0,3814,1592,0.3418
2026-09-24,2026-09-25,P,257.5,1095,336,0.6729
2026-09-24,2026-09-25,P,260.0,2255,2059,0.4805
2026-09-24,2026-09-25,P,262.5,268,411,0.7051
2026-09-24,2026-09-25,P,265.0,713,2073,0.8018
2026-09-24,2026-09-25,P,267.5,0,12,1.1836
2026-09-24,2026-09-25,P,270.0,0,26,0.999
2026-09-24,2026-09-25,P,272.5,1,1,0.8867
2026-09-24,2026-09-25,P,275.0,0,3328,1.1729
2026-09-24,2026-09-25,P,277.5,0,20,1.2568
2026-09-24,2026-09-25,P,280.0,0,2210,1.7061
2026-09-24,2026-09-25,P,282.5,1,1,1.4199
2026-09-24,2026-09-25,P,285.0,0,5,1.4785
2026-09-24,2026-09-25,P,290.0,0,42,1.6094
2026-09-24,2026-09-25,P,295.0,0,240,1.7539
2026-09-24,2026-09-28,C,200.0,8,8,0.9961
2026-09-24,2026-09-28,C,220.0,2,486,0.7363
2026-09-24,2026-09-28,C,225.0,13,6,0.8652
2026-09-24,2026-09-28,C,230.0,42,54,0.8674
2026-09-24,2026-09-28,C,232.5,6,8,0.793
2026-09-24,2026-09-28,C,235.0,18,10,0.5947
2026-09-24,2026-09-28,C,237.5,23,20,0.5391
2026-09-24,2026-09-28,C,240.0,105,189,0.4316
2026-09-24,2026-09-28,C,242.5,66,333,0.2974
2026-09-24,2026-09-28,C,245.0,205,911,0.2691
2026-09-24,2026-09-28,C,247.5,186,4144,0.2459
2026-09-24,2026-09-28,C,250.0,1344,5070,0.2473
2026-09-24,2026-09-28,C,252.5,3702,6740,0.2456
2026-09-24,2026-09-28,C,255.0,2429,5791,0.2481
2026-09-24,2026-09-28,C,257.5,1876,1525,0.2571
2026-09-24,2026-09-28,C,260.0,2201,1847,0.272
2026-09-24,2026-09-28,C,262.5,1621,848,0.2832
2026-09-24,2026-09-28,C,265.0,1124,362,0.2988
2026-09-24,2026-09-28,C,267.5,398,155,0.3145
2026-09-24,2026-09-28,C,270.0,1633,570,0.3262
2026-09-24,2026-09-28,C,272.5,177,82,0.3399
2026-09-24,2026-09-28,C,275.0,437,237,0.3906
2026-09-24,2026-09-28,C,277.5,118,12,0.4492
2026-09-24,2026-09-28,C,280.0,451,233,0.3984
2026-09-24,2026-09-28,C,285.0,58,2,0.4531
2026-09-24,2026-09-28,C,290.0,13,2,0.627
2026-09-24,2026-09-28,C,295.0,9,2,0.6172
2026-09-24,2026-09-28,P,200.0,10,2,1.0293
2026-09-24,2026-09-28,P,205.0,6,7,0.9297
2026-09-24,2026-09-28,P,210.0,8,13,0.5781
2026-09-24,2026-09-28,P,215.0,8,1,0.5313
2026-09-24,2026-09-28,P,220.0,10,497,0.4922
2026-09-24,2026-09-28,P,222.5,5,4,0.4688
2026-09-24,2026-09-28,P,225.0,22,5,0.4141
2026-09-24,2026-09-28,P,227.5,15,10,0.4004
2026-09-24,2026-09-28,P,230.0,160,41,0.3848
2026-09-24,2026-09-28,P,232.5,65,112,0.3408
2026-09-24,2026-09-28,P,235.0,264,235,0.2969
2026-09-24,2026-09-28,P,237.5,150,190,0.3008
2026-09-24,2026-09-28,P,240.0,665,1569,0.252
