fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,280.0,9,2,1.7256
2026-09-24,2026-09-25,C,282.5,8,1,1.623
2026-09-24,2026-09-25,C,285.0,2,2,1.5322
2026-09-24,2026-09-25,C,290.0,2,2,1.3711
2026-09-24,2026-09-25,C,300.0,150,9,1.0308
2026-09-24,2026-09-25,C,305.0,364,4,0.7388
2026-09-24,2026-09-25,C,307.5,26,3,0.7017
2026-09-24,2026-09-25,C,310.0,50,14,0.5557
2026-09-24,2026-09-25,C,312.5,148,27,0.6353
2026-09-24,2026-09-25,C,315.0,265,53,0.52
2026-09-24,2026-09-25,C,317.5,142,45,0.5054
2026-09-24,2026-09-25,C,320.0,207,115,0.5327
2026-09-24,2026-09-25,C,322.5,91,20,0.5193
2026-09-24,2026-09-25,C,325.0,474,194,0.4465
2026-09-24,2026-09-25,C,327.5,98,90,0.4551
2026-09-24,2026-09-25,C,330.0,679,325,0.4219
2026-09-24,2026-09-25,C,332.5,131,33,0.5064
2026-09-24,2026-09-25,C,335.0,264,8,0.4492
2026-09-24,2026-09-25,C,337.5,47,3,0.5391
2026-09-24,2026-09-25,C,340.0,1054,25,0.5234
2026-09-24,2026-09-25,C,342.5,28,7,0.8418
2026-09-24,2026-09-25,C,345.0,353,1,0.8867
2026-09-24,2026-09-25,C,347.5,28,2,0.5781
2026-09-24,2026-09-25,C,350.0,142,23,0.6953
2026-09-24,2026-09-25,C,352.5,145,1,1.2119
2026-09-24,2026-09-25,C,355.0,45,12,1.1719
2026-09-24,2026-09-25,C,360.0,394,11,1.0234
2026-09-24,2026-09-25,C,365.0,63,1,1.5176
2026-09-24,2026-09-25,C,367.5,7,1,1.8271
2026-09-24,2026-09-25,C,370.0,39,2,1.8877
2026-09-24,2026-09-25,C,372.5,1,0,1.959
2026-09-24,2026-09-25,C,375.0,328,1,1.7578
2026-09-24,2026-09-25,C,377.5,1,0,1.6465
2026-09-24,2026-09-25,C,380.0,70,28,1.0625
2026-09-24,2026-09-25,P,260.0,3,0,2.584
2026-09-24,2026-09-25,P,270.0,7,1,2.2017
2026-09-24,2026-09-25,P,275.0,28,10,2.0122
2026-09-24,2026-09-25,P,280.0,254,72,0.8438
2026-09-24,2026-09-25,P,282.5,9,18,1.3389
2026-09-24,2026-09-25,P,285.0,248,5,1.6348
2026-09-24,2026-09-25,P,287.5,12,21,1.0762
2026-09-24,2026-09-25,P,290.0,137,6,0.6406
2026-09-24,2026-09-25,P,292.5,16,3,0.9902
2026-09-24,2026-09-25,P,295.0,317,2,0.5938
2026-09-24,2026-09-25,P,297.5,32,2,0.8428
2026-09-24,2026-09-25,P,300.0,169,20,0.5156
2026-09-24,2026-09-25,P,302.5,89,7,0.4844
2026-09-24,2026-09-25,P,305.0,168,115,0.5117
2026-09-24,2026-09-25,P,307.5,70,62,0.4453
2026-09-24,2026-09-25,P,310.0,686,62,0.3994
2026-09-24,2026-09-25,P,312.5,190,7,0.3818
2026-09-24,2026-09-25,P,315.0,226,41,0.3516
2026-09-24,2026-09-25,P,317.5,31,3,0.3687
2026-09-24,2026-09-25,P,320.0,120,125,0.3831
2026-09-24,2026-09-25,P,322.5,162,133,0.502
