fecha,exp,tipo,strike,oi,vol,iv
2026-09-24,2026-09-25,C,305.0,3,4,1.375
2026-09-24,2026-09-25,C,310.0,0,6,2.7715
2026-09-24,2026-09-25,C,320.0,45,48,2.7725
2026-09-24,2026-09-25,C,325.0,3,0,2.6265
2026-09-24,2026-09-25,C,330.0,1,8,2.1924
2026-09-24,2026-09-25,C,340.0,0,2,1.7407
2026-09-24,2026-09-25,C,342.5,0,2,1.7065
2026-09-24,2026-09-25,C,345.0,6,1,1.5244
2026-09-24,2026-09-25,C,347.5,12,20,1.3647
2026-09-24,2026-09-25,C,350.0,49,3,0.7432
2026-09-24,2026-09-25,C,352.5,44,24,0.5586
2026-09-24,2026-09-25,C,355.0,27,88,0.9858
2026-09-24,2026-09-25,C,357.5,6,86,0.7031
2026-09-24,2026-09-25,C,360.0,27,60,1.2886
2026-09-24,2026-09-25,C,362.5,6,1,0.6367
2026-09-24,2026-09-25,C,365.0,62,88,0.5884
2026-09-24,2026-09-25,C,367.5,117,160,0.7539
2026-09-24,2026-09-25,C,370.0,374,787,0.4253
2026-09-24,2026-09-25,C,372.5,338,632,0.3474
2026-09-24,2026-09-25,C,375.0,1052,2645,0.3467
2026-09-24,2026-09-25,C,377.5,665,895,0.3279
2026-09-24,2026-09-25,C,380.0,951,1563,0.3106
2026-09-24,2026-09-25,C,382.5,1332,386,0.3149
2026-09-24,2026-09-25,C,385.0,1872,270,0.3247
2026-09-24,2026-09-25,C,387.5,593,202,0.3604
2026-09-24,2026-09-25,C,390.0,1552,497,0.3809
2026-09-24,2026-09-25,C,392.5,900,68,0.4316
2026-09-24,2026-09-25,C,395.0,2126,125,0.459
2026-09-24,2026-09-25,C,397.5,276,14,0.7246
2026-09-24,2026-09-25,C,400.0,1720,169,0.5156
2026-09-24,2026-09-25,C,402.5,245,31,0.6836
2026-09-24,2026-09-25,C,405.0,573,99,0.5313
2026-09-24,2026-09-25,C,407.5,94,10,0.6172
2026-09-24,2026-09-25,C,410.0,636,22,0.6719
2026-09-24,2026-09-25,C,412.5,213,10,1.6128
2026-09-24,2026-09-25,C,415.0,1573,2,0.6875
2026-09-24,2026-09-25,C,417.5,46,1,1.7495
2026-09-24,2026-09-25,C,420.0,247,4,0.7188
2026-09-24,2026-09-25,C,422.5,46,4,1.8818
2026-09-24,2026-09-25,C,425.0,521,196,0.9805
2026-09-24,2026-09-25,C,427.5,1,1,2.0098
2026-09-24,2026-09-25,C,430.0,1102,1,1.1563
2026-09-24,2026-09-25,C,432.5,50,0,2.1343
2026-09-24,2026-09-25,C,435.0,118,2,2.1953
2026-09-24,2026-09-25,C,437.5,3,0,2.2559
2026-09-24,2026-09-25,C,440.0,158,5,1.3223
2026-09-24,2026-09-25,C,445.0,20,2,2.4321
2026-09-24,2026-09-25,C,450.0,125,6,2.1397
2026-09-24,2026-09-25,P,305.0,8,9,1.6094
2026-09-24,2026-09-25,P,310.0,16,2,1.9727
2026-09-24,2026-09-25,P,315.0,12,3,3.1646
2026-09-24,2026-09-25,P,320.0,19,10,2.9624
2026-09-24,2026-09-25,P,325.0,82,5,1.1484
2026-09-24,2026-09-25,P,330.0,213,2,0.9766
2026-09-24,2026-09-25,P,335.0,81,14,1.8721
2026-09-24,2026-09-25,P,340.0,259,4,0.8828
2026-09-24,2026-09-25,P,342.5,34,8,0.7578
2026-09-24,2026-09-25,P,345.0,412,20,0.6563
2026-09-24,2026-09-25,P,347.5,26,10,1.4355
2026-09-24,2026-09-25,P,350.0,1714,27,0.5898
2026-09-24,2026-09-25,P,352.5,146,35,0.5371
2026-09-24,2026-09-25,P,355.0,889,123,0.5371
2026-09-24,2026-09-25,P,357.5,609,119,0.5273
2026-09-24,2026-09-25,P,360.0,1317,440,0.4688
2026-09-24,2026-09-25,P,362.5,484,199,0.4346
2026-09-24,2026-09-25,P,365.0,1319,435,0.375
2026-09-24,2026-09-25,P,367.5,460,187,0.3608
2026-09-24,2026-09-25,P,370.0,1380,384,0.3467
2026-09-24,2026-09-25,P,372.5,436,611,0.3379
2026-09-24,2026-09-25,P,375.0,937,337,0.3237
2026-09-24,2026-09-25,P,377.5,216,40,0.3333
2026-09-24,2026-09-25,P,380.0,461,38,0.3511
2026-09-24,2026-09-25,P,382.5,115,25,0.9028
2026-09-24,2026-09-25,P,385.0,1228,31,0.3892
2026-09-24,2026-09-25,P,387.5,73,119,0.5586
2026-09-24,2026-09-25,P,390.0,846,247,0.6265
2026-09-24,2026-09-25,P,392.5,1,13,0.9167
2026-09-24,2026-09-25,P,395.0,49,74,0.9963
2026-09-24,2026-09-25,P,397.5,0,1,0.9165
2026-09-24,2026-09-25,P,400.0,12,19,1.0249
2026-09-24,2026-09-25,P,402.5,0,1,0.5703
2026-09-24,2026-09-25,P,405.0,0,1,1.2456
2026-09-24,2026-09-25,P,410.0,0,2,0.8398
2026-09-24,2026-09-25,P,415.0,0,1,1.5064
2026-09-24,2026-09-25,P,420.0,0,25,1.2871
2026-09-24,2026-09-25,P,425.0,0,9,1.7246
2026-09-24,2026-09-25,P,430.0,0,2,1.6904
2026-09-24,2026-09-25,P,435.0,0,1,1.4824
2026-09-24,2026-09-25,P,450.0,0,14,2.1104
